[SystemTime { tv_sec: 1783771285, tv_nsec: 961870000 } Pad 1: AxisChanged(LeftStickY, 0.257488, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 963867000 } Pad 1: AxisChanged(LeftStickY, 0.26324257, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 967868000 } Pad 1: AxisChanged(LeftStickY, 0.26833448, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 971868000 } Pad 1: AxisChanged(LeftStickY, 0.2697644, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 975876000 } Pad 1: AxisChanged(LeftStickY, 0.27196157, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 977867000 } Pad 1: AxisChanged(LeftStickY, 0.27827415, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 981867000 } Pad 1: AxisChanged(LeftStickY, 0.27987847, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 983868000 } Pad 1: AxisChanged(LeftStickY, 0.28162226, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 987868000 } Pad 1: AxisChanged(LeftStickY, 0.28322655, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 989867000 } Pad 1: AxisChanged(LeftStickY, 0.28469136, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 991868000 } Pad 1: AxisChanged(LeftStickY, 0.28650492, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 993872000 } Pad 1: AxisChanged(LeftStickY, 0.2884231, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 995868000 } Pad 1: AxisChanged(LeftStickY, 0.29403815, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 999878000 } Pad 1: AxisChanged(LeftStickY, 0.29853716, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 1868000 } Pad 1: AxisChanged(LeftStickY, 0.3030013, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 3868000 } Pad 1: AxisChanged(LeftStickY, 0.30509388, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 5868000 } Pad 1: AxisChanged(LeftStickY, 0.30962777, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 9868000 } Pad 1: AxisChanged(LeftStickY, 0.3110577, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 15868000 } Pad 1: AxisChanged(LeftStickY, 0.31255737, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 17867000 } Pad 1: AxisChanged(LeftStickY, 0.3146499, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 19868000 } Pad 1: AxisChanged(LeftStickY, 0.31607985, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 21868000 } Pad 1: AxisChanged(LeftStickY, 0.3175795, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 25868000 } Pad 1: AxisChanged(LeftStickY, 0.31883505, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 27868000 } Pad 1: AxisChanged(LeftStickY, 0.32061374, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 29871000 } Pad 1: AxisChanged(LeftStickY, 0.32549638, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 31868000 } Pad 1: AxisChanged(LeftStickY, 0.33016977, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 37871000 } Pad 1: AxisChanged(LeftStickY, 0.33135557, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 39868000 } Pad 1: AxisChanged(LeftStickY, 0.33588946, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 45868000 } Pad 1: AxisChanged(LeftStickY, 0.33717987, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 47877000 } Pad 1: AxisChanged(LeftStickY, 0.33867955, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 49870000 } Pad 1: AxisChanged(LeftStickY, 0.34010947, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 53868000 } Pad 1: AxisChanged(LeftStickY, 0.34499213, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 55868000 } Pad 1: AxisChanged(LeftStickY, 0.34635228, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 59868000 } Pad 1: AxisChanged(LeftStickY, 0.34753808, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 63868000 } Pad 1: AxisChanged(LeftStickY, 0.352909, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 65868000 } Pad 1: AxisChanged(LeftStickY, 0.35454816, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 71877000 } Pad 1: AxisChanged(LeftStickY, 0.35646635, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 73868000 } Pad 1: AxisChanged(LeftStickY, 0.35775676, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 75868000 } Pad 1: AxisChanged(LeftStickY, 0.35970983, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 79868000 } Pad 1: AxisChanged(LeftStickY, 0.36427858, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 81868000 } Pad 1: AxisChanged(LeftStickY, 0.36626655, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 83868000 } Pad 1: AxisChanged(LeftStickY, 0.3723001, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 85868000 } Pad 1: AxisChanged(LeftStickY, 0.37369514, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 87869000 } Pad 1: AxisChanged(LeftStickY, 0.37882194, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 89868000 } Pad 1: AxisChanged(LeftStickY, 0.38080987, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 93869000 } Pad 1: AxisChanged(LeftStickY, 0.38656443, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 97869000 } Pad 1: AxisChanged(LeftStickY, 0.39221436, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 99869000 } Pad 1: AxisChanged(LeftStickY, 0.39392328, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 101902000 } Pad 1: AxisChanged(LeftStickY, 0.3984223, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 103869000 } Pad 1: AxisChanged(LeftStickY, 0.40023586, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 105868000 } Pad 1: AxisChanged(LeftStickY, 0.4014565, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 107869000 } Pad 1: AxisChanged(LeftStickY, 0.40916413, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 109869000 } Pad 1: AxisChanged(LeftStickY, 0.41080332, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 111869000 } Pad 1: AxisChanged(LeftStickY, 0.41551158, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 115869000 } Pad 1: AxisChanged(LeftStickY, 0.41711587, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 117869000 } Pad 1: AxisChanged(LeftStickY, 0.42283556, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 121869000 } Pad 1: AxisChanged(LeftStickY, 0.42960152, Code(EvCode(EvCode { kind: 3, code: 1 })))
